gemeinde_name,ags_gemeinde,ags_kreis,kdu_region,source_document,valid_from,max_wohnflaeche_sqm_1p,max_wohnflaeche_sqm_2p,max_wohnflaeche_sqm_3p,max_wohnflaeche_sqm_4p,max_wohnflaeche_sqm_5p,max_wohnflaeche_sqm_addl,max_nettokaltmiete_eur_1p,max_nettokaltmiete_eur_2p,max_nettokaltmiete_eur_3p,max_nettokaltmiete_eur_4p,max_nettokaltmiete_eur_5p,max_nettokaltmiete_eur_addl,max_nettokaltmiete_eur_sqm,max_bruttokaltmiete_eur_1p,max_bruttokaltmiete_eur_2p,max_bruttokaltmiete_eur_3p,max_bruttokaltmiete_eur_4p,max_bruttokaltmiete_eur_5p,max_bruttokaltmiete_eur_addl,max_bruttokaltmiete_eur_sqm,wogg_mietstufe,notes,wogv_mietstufe,wogg_hoechstbetrag_eur_1p,wogg_hoechstbetrag_eur_2p,wogg_hoechstbetrag_eur_4p,kdu_vs_wogg_pct_1p,kdu_vs_wogg_pct_2p,kdu_vs_wogg_pct_4p
Daaden,07132018,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Derschen,07132019,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Dickendorf,07132020,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Eichelhardt,07132022,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Eichen,07132023,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Elben,07132024,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Elkenroth,07132025,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Emmerzhausen,07132026,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Ersfeld,07132027,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Etzbach,07132028,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Eulenberg,07132029,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Fensdorf,07132030,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Fiersbach,07132031,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Flammersfeld,07132032,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Fluterschen,07132033,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Forst,07132034,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Forstmehren,07132035,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Friedewald,07132036,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Friesenhagen,07132037,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Fürthen,07132038,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Gebhardshain,07132039,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Gieleroth,07132040,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Giershausen,07132041,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Grünebach,07132042,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Güllesheim,07132043,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Hamm (Sieg),07132044,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Harbach,07132045,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Hasselbach,07132046,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Helmenzen,07132047,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Helmeroth,07132048,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Hemmelzen,07132049,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Herdorf,07132050,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Heupelzen,07132051,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Hilgenroth,07132052,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Hirz-Maulsbach,07132053,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Hövels,07132054,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Horhausen (Westerwald),07132055,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Idelberg,07132056,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Ingelbach,07132057,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Isert,07132058,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Kausen,07132059,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Kescheid,07132060,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Kettenhausen,07132061,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Kircheib,07132062,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Kirchen (Sieg),07132063,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Kraam,07132064,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Krunkel,07132065,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Malberg,07132066,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Mammelzen,07132067,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Mauden,07132068,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Mehren,07132069,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Michelbach (Westerwald),07132070,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Molzhain,07132071,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Mudersbach,07132072,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Nauroth,07132073,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Niederdreisbach,07132075,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Niederfischbach,07132076,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Niederirsen,07132077,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Niedersteinebach,07132078,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Nisterberg,07132079,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Katzwinkel (Sieg),07132080,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,360,410,530,580,690,,,,,,,,,,1,"Vergleichsraum 2 Ost; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Obererbach (Westerwald),07132081,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Oberirsen,07132082,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Oberlahr,07132083,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Obersteinebach,07132085,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Oberwambach,07132086,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Ölsen,07132087,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Orfgen,07132088,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
Peterslahr,07132089,07132,Altenkirchen LK,KdU Altenkirchen LK - 01.01.2025.pdf + SK Altenkirchen LK - 01.01.2024.pdf,2025-01-01,50,60,80,90,105,,380,420,550,600,690,,,,,,,,,,1,"Vergleichsraum 1 West; nur Nettokaltmiete-Richtwerte, keine Bruttokaltgrenze; Wfl/VR-Zuordnung aus SK 2024",1,361,437,608,,,
