gemeinde_name,ags_gemeinde,ags_kreis,kdu_region,source_document,valid_from,max_wohnflaeche_sqm_1p,max_wohnflaeche_sqm_2p,max_wohnflaeche_sqm_3p,max_wohnflaeche_sqm_4p,max_wohnflaeche_sqm_5p,max_wohnflaeche_sqm_addl,max_nettokaltmiete_eur_1p,max_nettokaltmiete_eur_2p,max_nettokaltmiete_eur_3p,max_nettokaltmiete_eur_4p,max_nettokaltmiete_eur_5p,max_nettokaltmiete_eur_addl,max_nettokaltmiete_eur_sqm,max_bruttokaltmiete_eur_1p,max_bruttokaltmiete_eur_2p,max_bruttokaltmiete_eur_3p,max_bruttokaltmiete_eur_4p,max_bruttokaltmiete_eur_5p,max_bruttokaltmiete_eur_addl,max_bruttokaltmiete_eur_sqm,wogg_mietstufe,notes,wogv_mietstufe,wogg_hoechstbetrag_eur_1p,wogg_hoechstbetrag_eur_2p,wogg_hoechstbetrag_eur_4p,kdu_vs_wogg_pct_1p,kdu_vs_wogg_pct_2p,kdu_vs_wogg_pct_4p
Büsum,01051013,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Büsumer Deichhausen,01051014,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Bunsoh,01051015,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Burg (Dithmarschen),01051016,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Busenwurth,01051017,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Dellstedt,01051019,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Delve,01051020,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Diekhusen-Fahrstedt,01051021,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Dingen,01051022,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Dörpling,01051023,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Eddelak,01051024,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Eggstedt,01051026,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Elpersbüttel,01051027,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Epenwöhrden,01051028,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Fedderingen,01051030,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Frestedt,01051032,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Friedrichsgabekoog,01051033,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Friedrichskoog,01051034,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Gaushorn,01051035,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Glüsing,01051036,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Großenrade,01051037,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
Groven,01051038,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6
Gudendorf,01051039,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15
